length,construction time (s),verification time (s),total mem (mb),states,transitions
2,0.005,0.002,-0.42003631591796875,10,18
3,0.005,0.065,-0.9276962280273438,12,20
4,0.006,0.07,-1.9578704833984375,16,30
5,0.006,0.365,-1.6392974853515625,18,32
6,0.008,0.382,-6.2496795654296875,22,42
7,0.007,1.298,-32.837188720703125,24,44
8,0.008,1.438,-1.992296203086853E7,28,54
9,0.008,3.101,-4.404022235597229E7,30,56
10,0.008,2.949,-4.404021429007721E7,34,66
11,0.008,5.843,-4.404019058390045E7,36,68
12,0.009,6.069,-4.5088770264045715E7,40,78
13,0.008,10.832,-8.283745626007843E7,42,80
14,0.01,10.795,-7.340028783228302E7,46,90
15,0.01,16.721,-7.34002984334259E7,48,92
16,0.01,19.207,-7.340032205417633E7,52,102
17,0.011,27.267,-7.340028523458862E7,54,104
18,0.011,27.015,-1.0800333492268372E8,58,114
19,0.013,39.521,-1.4365490328785706E8,60,116
20,0.013,39.394,-1.0800327884429169E8,64,126
21,0.012,69.798,-1.1324619929862213E8,66,128
22,0.013,69.725,-1.0800327469928741E8,70,138
23,0.017,110.438,-1.4365485766604614E8,72,140
24,0.014,138.861,-3.722443644566498E8,76,150
25,0.013,208.755,-3.27155513251915E8,78,152
