length,construction time (s),verification time (s),total mem (mb),states,transitions
2,0.005,0.002,0.42011260986328125,10,18
3,0.005,0.076,0.962799072265625,12,20
4,0.006,0.081,1.9246978759765625,16,30
5,0.006,0.336,-1.971923828125,18,32
6,0.011,0.362,10.171340942382812,22,42
7,0.007,0.98,16.2142333984375,24,44
8,0.007,1.231,41.47893524169922,28,54
9,0.009,2.799,41.72206115722656,30,56
10,0.008,2.749,60.939842224121094,34,66
11,0.008,5.773,6.252464294433594,36,68
12,0.009,5.839,12.57550048828125,40,78
13,0.01,11.363,70.58763885498047,42,80
14,0.01,10.837,15.300666809082031,46,90
15,0.01,16.638,84.93196868896484,48,92
16,0.013,20.658,3.8747634887695312,52,102
17,0.016,29.029,45.9251708984375,54,104
18,0.013,26.772,4.3444671630859375,58,114
19,0.013,39.178,97.45452117919922,60,116
20,0.013,39.558,28.32831573486328,64,126
21,0.013,70.839,80.14605712890625,66,128
22,0.013,74.023,90.79956817626953,70,138
23,0.018,114.979,90.19178771972656,72,140
24,0.015,130.9,175.6857452392578,76,150
25,0.014,199.87,84.34954071044922,78,152
